Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-06-05,Arizona Diamondbacks,Atlanta Braves,31-31,27-34,11,10,K. Graveman,1.0,2,1,0,0,R. Iglesias,0.2,4,3,0,1
2025-06-05,Kansas City Royals,St. Louis Cardinals,32-30,34-27,5,6,J. Romero,1.0,1,0,1,0,C. Estevez,0.1,2,1,0,1
2025-06-05,Detroit Tigers,Chicago White Sox,41-23,20-43,2,3,S. Wilson,1.0,0,0,1,0,B. Brieske,0.1,1,0,0,1
2025-06-05,Philadelphia Phillies,Toronto Blue Jays,37-25,33-29,1,9,C. Bassitt,7.0,5,1,6,2,J. Luzardo,2.1,9,8,2,2
2025-06-05,Minnesota Twins,Athletics,34-28,24-40,3,14,M. Spence,5.0,3,1,4,1,D. Festa,3.2,6,8,6,2
2025-06-05,Baltimore Orioles,Seattle Mariners,25-36,32-29,4,3,Z. Eflin,6.0,8,3,7,0,B. Woo,6.0,4,4,6,2
2025-06-05,San Diego Padres,San Francisco Giants,35-26,35-28,2,3,R. Ray,7.0,4,2,9,1,D. Cease,5.0,5,3,7,3
2025-06-05,New York Mets,Los Angeles Dodgers,39-24,38-25,5,6,A. Vesia,0.1,0,0,0,0,R. Garrett,0.2,2,1,1,2
2025-06-05,Houston Astros,Pittsburgh Pirates,34-28,23-40,8,2,F. Valdez,7.0,4,2,11,3,M. Keller,6.1,8,6,5,1
2025-06-05,Chicago Cubs,Washington Nationals,39-23,29-33,7,1,C. Rea,5.1,5,0,0,1,J. Irvin,5.0,8,3,3,2
2025-06-05,Cleveland Guardians,New York Yankees,33-28,38-23,0,4,M. Fried,6.0,1,0,7,2,S. Cecconi,5.0,5,2,3,2
2025-06-05,Texas Rangers,Tampa Bay Rays,29-34,33-29,3,4,C. Sulser,1.0,1,0,1,0,R. Garcia,0.2,4,3,0,1
2025-06-05,Kansas City Royals,St. Louis Cardinals,33-30,34-28,7,5,A. Zerpa,3.0,1,0,4,1,M. Liberatore,4.0,8,7,2,1
2025-06-06,Miami Marlins,Tampa Bay Rays,23-38,34-29,3,4,Z. Littell,6.0,6,1,4,0,E. Cabrera,4.0,6,1,5,2
2025-06-06,Philadelphia Phillies,Pittsburgh Pirates,37-26,24-40,4,5,D. Bednar,1.0,0,0,3,0,J. Romano,0.2,3,1,1,0
2025-06-06,Texas Rangers,Washington Nationals,29-35,30-33,0,2,M. Soroka,6.0,2,0,7,1,P. Corbin,8.0,5,2,2,0
2025-06-06,Boston Red Sox,New York Yankees,30-35,39-23,6,9,W. Warren,5.1,3,4,6,4,W. Buehler,2.0,7,5,2,2
2025-06-06,Arizona Diamondbacks,Cincinnati Reds,31-32,31-33,3,4,T. Santillan,1.0,0,0,2,1,R. Thompson,1.1,1,0,3,0
2025-06-06,Chicago Cubs,Detroit Tigers,39-24,42-23,1,3,T. Skubal,7.2,8,1,6,0,B. Brown,7.0,7,2,7,1
2025-06-06,Houston Astros,Cleveland Guardians,35-28,33-29,4,2,C. Gordon,5.0,7,1,5,0,L. Allen,6.0,7,4,2,2
2025-06-06,Kansas City Royals,Chicago White Sox,33-31,21-43,2,7,J. Leasure,1.0,1,0,0,1,J. Bowlan,1.1,2,3,1,4
2025-06-06,San Diego Padres,Milwaukee Brewers,36-26,34-30,2,0,W. Peralta,0.2,0,0,2,1,C. Patrick,6.0,4,1,6,3
2025-06-06,Toronto Blue Jays,Minnesota Twins,34-29,34-29,6,4,E. Lauer,2.1,1,0,2,1,B. Ober,7.0,5,5,4,1
2025-06-06,Los Angeles Dodgers,St. Louis Cardinals,38-26,35-28,0,5,S. Gray,6.1,8,0,5,0,J. Wrobleski,6.0,6,4,5,3
2025-06-06,New York Mets,Colorado Rockies,40-24,12-51,4,2,R. Stanek,1.0,2,0,1,1,Z. Agnos,1.0,2,2,2,1
2025-06-06,Seattle Mariners,Los Angeles Angels,32-30,29-33,4,5,K. Hendricks,6.0,8,4,2,2,B. Miller,5.0,6,5,2,1
2025-06-06,Baltimore Orioles,Athletics,25-37,25-40,4,5,J. Sears,5.0,4,4,3,3,D. Kremer,5.1,8,5,2,1
2025-06-06,Atlanta Braves,San Francisco Giants,27-35,36-28,4,5,S. Bivens,0.1,0,0,0,0,P. Johnson,1.0,1,0,0,0
2025-06-07,Arizona Diamondbacks,Cincinnati Reds,31-32,31-33,3,4,T. Santillan,1.0,0,0,2,1,R. Thompson,1.1,1,0,3,0
2025-06-07,Chicago Cubs,Detroit Tigers,40-24,42-24,6,1,J. Taillon,7.0,3,1,5,1,T. Holton,1.1,1,1,2,0
